created_at,edge_type,src_party,src_wing,dst_party,dst_wing,src_account,dst_account,full_text,preds_binary,preds_prob
2019-05-27 16:28:08+00:00,free_mentions,Hadash Taal,Left,Likud,Right,AidaTuma,netanyahu,נמנענו מלהצביע נגד או בעד הספין של נתניהו והסחטנות שלו. תמיד נהיה בצד של הפלת כל ממשלת ימין במיוחד גזענית וחסרת גבולות בדומה לזו שהסתמנה עד לפני רגע! מוכנים ורוצים בחירות אך לא יכולנו - ערכית ופוליטית- להתנגד להפלת הגזען המושחת וגם לא לשחק לידיו.,1,0.9515841
2019-05-24 17:10:02+00:00,free_mentions,Hadash Taal,Left,Likud,Right,AidaTuma,IsraeliPM,"עוד לא ברור עד כמה הידיעות אודות  החשד להצתות מכוונות הן נכונות. אבל, אל לנו לשכוח את סצנת ""טרור המציתים"" של נתניהו- ארדן- אלשיך מ-2016 שהסתיימה בכלום!.  גם כך שרב, ולא חסר הסתה, הרי אין ספק שזו מציתה!",1,0.99234664
2019-05-24 17:10:02+00:00,free_mentions,Hadash Taal,Left,Likud,Right,AidaTuma,netanyahu,"עוד לא ברור עד כמה הידיעות אודות  החשד להצתות מכוונות הן נכונות. אבל, אל לנו לשכוח את סצנת ""טרור המציתים"" של נתניהו- ארדן- אלשיך מ-2016 שהסתיימה בכלום!.  גם כך שרב, ולא חסר הסתה, הרי אין ספק שזו מציתה!",1,0.99234664
2019-05-24 17:10:02+00:00,free_mentions,Hadash Taal,Left,Likud,Right,AidaTuma,giladerdan1,"עוד לא ברור עד כמה הידיעות אודות  החשד להצתות מכוונות הן נכונות. אבל, אל לנו לשכוח את סצנת ""טרור המציתים"" של נתניהו- ארדן- אלשיך מ-2016 שהסתיימה בכלום!.  גם כך שרב, ולא חסר הסתה, הרי אין ספק שזו מציתה!",1,0.99234664
2019-05-24 13:39:09+00:00,free_mentions,Hadash Taal,Left,Likud,Right,AidaTuma,IsraeliPM,הנהגת מה שנקרא אופוזיציה במדינה לא הבינו כלום  ממשיכים להדיר אותו ציבור המודר ממדורת הדימוקרטיה של ממשלת הימין בראשות נתניהו  מאוד מתאים לרוח חוק הלאום : דימוקרטיה ליהודים,1,0.5712587
2019-05-24 13:39:09+00:00,free_mentions,Hadash Taal,Left,Likud,Right,AidaTuma,netanyahu,הנהגת מה שנקרא אופוזיציה במדינה לא הבינו כלום  ממשיכים להדיר אותו ציבור המודר ממדורת הדימוקרטיה של ממשלת הימין בראשות נתניהו  מאוד מתאים לרוח חוק הלאום : דימוקרטיה ליהודים,1,0.5712587
2019-04-22 19:17:41+00:00,free_mentions,Hadash Taal,Left,Likud,Right,AidaTuma,IsraeliPM,"מסתבר שנתניהו בעצמו, הרבה לפני הגעוואלד ערב הבחירות, תכנן היטב איך לפגוע בשיעורי ההצבעה בקרב האזרחים הערבים. 1.5 מלש""ח השקיע כדי לשמור על טוהר הבחירות* מהגזע הערבי ושוב, נכשל.  כבר פניתי ליועמש לפתוח בחקירה נגד נתניהו. אבל מי יודע איך זה יתקדם עם אווירת העליהום של ו.הבחירות עצמה!",0,0.9155173
2019-04-22 19:17:41+00:00,free_mentions,Hadash Taal,Left,Likud,Right,AidaTuma,netanyahu,"מסתבר שנתניהו בעצמו, הרבה לפני הגעוואלד ערב הבחירות, תכנן היטב איך לפגוע בשיעורי ההצבעה בקרב האזרחים הערבים. 1.5 מלש""ח השקיע כדי לשמור על טוהר הבחירות* מהגזע הערבי ושוב, נכשל.  כבר פניתי ליועמש לפתוח בחקירה נגד נתניהו. אבל מי יודע איך זה יתקדם עם אווירת העליהום של ו.הבחירות עצמה!",0,0.9155173
2019-04-22 16:23:56+00:00,free_mentions,Hadash Taal,Left,Avoda,Left,AidaTuma,HavodaParty,"פיראס קטיפאן יאסין, בחור בן 30 מהעיר עראבה הוא ההרוג ה-13 מתחילת השנה בתאונות עבודה. זו לא גזירת גורל והאחריות אינה על הפועלים עצמם. אלא על הממשלה, משרד העבודה, הפקחים והקבלנים. אכיפת חוקי הבטיחות, יצירת הרתעה, וקידום תקן הפיגומים בסטנדרטים הבינ""ל. https://t.co/uKg0p5PAx3",1,0.5981352
2019-04-15 10:53:04+00:00,free_mentions,Hadash Taal,Left,Likud,Right,AidaTuma,IsraeliPM,"לא ממליצים על אף אחד.נמשיך לייצג את הציבור שלנו נגד הנצחת הכיבוש והאפליה שמוביל נתניהו, וגם נגד ההתכחשות לציבור שלם ונציגיו שגילה גנץ. ניאבק נגד כל קואליציה מסיתה וגזענית, ולא נעמוד דום מול אופוזיציה אימפוטנטית מול הסוגיות החשובות לנו - סיום הכיבוש, שלום, צדק, שוויון לאומי ואזרחי",0,0.9658115
2019-04-15 10:53:04+00:00,free_mentions,Hadash Taal,Left,Likud,Right,AidaTuma,netanyahu,"לא ממליצים על אף אחד.נמשיך לייצג את הציבור שלנו נגד הנצחת הכיבוש והאפליה שמוביל נתניהו, וגם נגד ההתכחשות לציבור שלם ונציגיו שגילה גנץ. ניאבק נגד כל קואליציה מסיתה וגזענית, ולא נעמוד דום מול אופוזיציה אימפוטנטית מול הסוגיות החשובות לנו - סיום הכיבוש, שלום, צדק, שוויון לאומי ואזרחי",0,0.9658115
2019-04-15 09:44:11+00:00,user_mentions,Hadash Taal,Left,Likud,Right,AidaTuma,netanyahu,לא נסכים שסדר היום יפסח על שערוריית המצלמות. זה היה מהלך חסר תקדים של הסתה ישירה ומכוונת של @netanyahu אשר כל מטרתו להרתיע ולשלול מהאזרחים הערבים את זכותם הדימוקרטית הבסיסית ביותר. מערכת שמתיימרת לקדם צדק חייבת לטפל במהרה בנושא! https://t.co/1V0WE5t01K,1,0.99177843
2019-05-04 00:34:46+00:00,user_mentions,Yesh Atid,Center,Likud,Right,aliza_lavie,YehudahGlick,"תבורך @YehudahGlick היקר שהגעת לחזק ולתמוך ברב ישראל גולדשטיין, לאחר הפיגוע שנאה בבית הכנסת בפאווי. קריאתו להמשיך תמיד קדימה. להיות גאים במי שאנחנו - מהדהדת בקהילות, ומחזקת במיוחד בשבת שבין יום השואה ליום הזיכרון ויום העצמאות. שבת שלום https://t.co/qSM0FrYXTH",0,0.9982212
2019-05-04 00:34:46+00:00,quoted_status,Yesh Atid,Center,Likud,Right,aliza_lavie,YehudahGlick,"תבורך @YehudahGlick היקר שהגעת לחזק ולתמוך ברב ישראל גולדשטיין, לאחר הפיגוע שנאה בבית הכנסת בפאווי. קריאתו להמשיך תמיד קדימה. להיות גאים במי שאנחנו - מהדהדת בקהילות, ומחזקת במיוחד בשבת שבין יום השואה ליום הזיכרון ויום העצמאות. שבת שלום https://t.co/qSM0FrYXTH",0,0.9982212
2019-05-02 20:17:48+00:00,user_mentions,Yesh Atid,Center,Likud,Right,aliza_lavie,YehudahGlick,@YehudahGlick חברי היקר מחכה לשמוע את הרצאתך בבית ג׳קובי בשבת. כמו תמיד תרתק את הקהל. https://t.co/1GWchG7zyt,0,0.97382677
2019-05-02 20:17:48+00:00,quoted_status,Yesh Atid,Center,Likud,Right,aliza_lavie,YehudahGlick,@YehudahGlick חברי היקר מחכה לשמוע את הרצאתך בבית ג׳קובי בשבת. כמו תמיד תרתק את הקהל. https://t.co/1GWchG7zyt,0,0.97382677
2019-05-02 03:00:35+00:00,free_mentions,Yesh Atid,Center,Avoda,Left,aliza_lavie,Syechimovich,״בזכות העיניים הכחולות שלי והשיער הבלונדיני ניצלתי״. ההורים שלי לא. ליה פרנקל משתפת את הסטודנטים בהילל באוניברסיטת UCLA. בקמפוסים רבים אמצו את היוזמה הישראלית של זיכרון בסלון. מרתק להקשיב לסטודנטים פה לאחר הפיגוע בבית הכנסת של חב״ד לא רחוק מכאן. https://t.co/Q4j0Jcv81f,0,0.98938507
2019-04-30 16:09:56+00:00,free_mentions,Yesh Atid,Center,Avoda,Left,aliza_lavie,HavodaParty,@GiladEvenSapir תודה רבה גלעד על העזרה והעבודה הנהדרת.,0,0.98291785
2019-04-24 16:02:42+00:00,user_mentions,Yesh Atid,Center,Avoda,Left,aliza_lavie,Ayeletnnv,@liatl13 @Ayeletnnv ליאת זאת היתה החלטה של ההוצאה. עכשיו שכתבת אפנה בנושא שוב.,1,0.8156854
2019-04-24 14:56:46+00:00,user_mentions,Yesh Atid,Center,Yesh Atid,Center,aliza_lavie,KElharrar,@KElharrar תודה קארין היקרה,0,0.98973113
2019-04-24 14:54:58+00:00,user_mentions,Yesh Atid,Center,Avoda,Left,aliza_lavie,Ayeletnnv,@Ayeletnnv תודה איילת היקרה. זוכרת את התרגשותך במליאה בימים לקראת בר המצווה של יונה.,0,0.9829093
2019-04-21 11:22:15+00:00,user_mentions,Yesh Atid,Center,Likud,Right,aliza_lavie,netanyahu,"חוק האיזוק האלקטרוני שהובלתי יכול לתת מענה. מבקשת מרוה״מ @netanyahu בחג החרות להשלים את החוק שהבטיח לקדם בחקיקת בזק, רגע לפני סיום הכנסת ה-20. קוראת לכל חברי הכנסת לחתום על הצעת החוק שיזמתי לפני 3 שנים, ולהוביל אותה יחד כהצעת החוק הראשונה שתאושר בכנסת ה-21! https://t.co/FnSUtlSDDo",0,0.81702846
2019-04-21 07:54:36+00:00,free_mentions,Yesh Atid,Center,Avoda,Left,aliza_lavie,Syechimovich,@ruvirivlin שימחת שנשארת כל השבת. הבת שלי עם חברותיה המפקציו״ת הנפלאות שהתנדבו להישאר בחג - בתמונה. אלופות❣️ https://t.co/AWxHS2ht2R,0,0.76689553
2019-05-08 17:08:30+00:00,free_mentions,Yamin Hadash,Right,Blue and White,Center,alonabarkat,BlueWhite2019,"חג עצמאות שמח ישראל אהובה !  ביום ההולדת ה-71 למדינה אני מאחלת שנדע להביט אל העבר, להיות גאים בכל מה שהשגנו במדינה המופלאה שלנו, ובאותה נשימה נסתכל קדימה לעתיד- נדע ימים של הגשמה, עשייה ושלווה, שנבחר בטוב, נזכה לטוב ונגשים עוד אינספור חלומות צבועים כחול-לבן.  חג עצמאות שמח!! 🇮🇱🇮🇱 https://t.co/HHNdjUPgAh",0,0.94794285
2019-05-08 17:08:30+00:00,free_mentions,Yamin Hadash,Right,Blue and White,Center,alonabarkat,Kachollavan19,"חג עצמאות שמח ישראל אהובה !  ביום ההולדת ה-71 למדינה אני מאחלת שנדע להביט אל העבר, להיות גאים בכל מה שהשגנו במדינה המופלאה שלנו, ובאותה נשימה נסתכל קדימה לעתיד- נדע ימים של הגשמה, עשייה ושלווה, שנבחר בטוב, נזכה לטוב ונגשים עוד אינספור חלומות צבועים כחול-לבן.  חג עצמאות שמח!! 🇮🇱🇮🇱 https://t.co/HHNdjUPgAh",0,0.94794285
2019-05-06 22:03:08+00:00,free_mentions,Blue and White,Center,Likud,Right,AlonSchuster,IsraeliPM,"@alonschuster_mk ח״כ מיקי זהר, בפאנל בהשתתפותי: אנחנו נגד כניסה קרקעית לעזה (מחיר דמים), אנחנו נגד התקרבות בין החמאס לרש״פ (ידרוש פשרות באיו״ש). מכאן, שמלחמת התשה עם עזה היא המתכונת המיטבית.  המשמעות: נתניהו והנייה הינם שותפים בפועל להחלשת אבו מאזן. בעוטף",1,0.9945951
2019-05-06 22:03:08+00:00,free_mentions,Blue and White,Center,Likud,Right,AlonSchuster,netanyahu,"@alonschuster_mk ח״כ מיקי זהר, בפאנל בהשתתפותי: אנחנו נגד כניסה קרקעית לעזה (מחיר דמים), אנחנו נגד התקרבות בין החמאס לרש״פ (ידרוש פשרות באיו״ש). מכאן, שמלחמת התשה עם עזה היא המתכונת המיטבית.  המשמעות: נתניהו והנייה הינם שותפים בפועל להחלשת אבו מאזן. בעוטף",1,0.9945951
2019-05-02 18:13:44+00:00,free_mentions,Blue and White,Center,Blue and White,Center,AlonSchuster,gantzbe,@alonschuster_mkהמסר של השואה הוא שלעולם נחזיק הן בעוצמה והן במוסר. אם לא תהיה לנו עוצמה - לא נהיה; אם לא נחזיק בערכים מוסריים - לא נהיה אנחנו. כך אמר כעת ח״כ בני גנץ בטקס נעילת יום השואה בקבוץ יד מרדכי. עם המסר הזה נאבק על קיומה ועל דמותה של מדינת ישראל.,1,0.9924981
2019-05-21 06:03:10+00:00,user_mentions,Likud,Right,Likud,Right,AmirOhana,netanyahu,"@rothmar @netanyahu @bezalelsm @AvigdorLiberman @ariyederi @realrafiperets @KahlonMoshe שמחה, איננו עוסקים בזה כעת. https://t.co/9t5VhLkIAu",1,0.6831694
2019-05-21 06:03:10+00:00,user_mentions,Likud,Right,Ichud Hayamin,Right,AmirOhana,bezalelsm,"@rothmar @netanyahu @bezalelsm @AvigdorLiberman @ariyederi @realrafiperets @KahlonMoshe שמחה, איננו עוסקים בזה כעת. https://t.co/9t5VhLkIAu",1,0.6831694
2019-05-21 06:03:10+00:00,user_mentions,Likud,Right,Israel Betenu,Right,AmirOhana,AvigdorLiberman,"@rothmar @netanyahu @bezalelsm @AvigdorLiberman @ariyederi @realrafiperets @KahlonMoshe שמחה, איננו עוסקים בזה כעת. https://t.co/9t5VhLkIAu",1,0.6831694
2019-05-21 06:03:10+00:00,user_mentions,Likud,Right,Shas,Right,AmirOhana,ariyederi,"@rothmar @netanyahu @bezalelsm @AvigdorLiberman @ariyederi @realrafiperets @KahlonMoshe שמחה, איננו עוסקים בזה כעת. https://t.co/9t5VhLkIAu",1,0.6831694
2019-05-21 06:03:10+00:00,user_mentions,Likud,Right,Ichud Hayamin,Right,AmirOhana,realrafiperets,"@rothmar @netanyahu @bezalelsm @AvigdorLiberman @ariyederi @realrafiperets @KahlonMoshe שמחה, איננו עוסקים בזה כעת. https://t.co/9t5VhLkIAu",1,0.6831694
2019-05-21 06:03:10+00:00,user_mentions,Likud,Right,Culanu,Right,AmirOhana,KahlonMoshe,"@rothmar @netanyahu @bezalelsm @AvigdorLiberman @ariyederi @realrafiperets @KahlonMoshe שמחה, איננו עוסקים בזה כעת. https://t.co/9t5VhLkIAu",1,0.6831694
2019-05-03 07:58:25+00:00,free_mentions,Likud,Right,Avoda,Left,AmirOhana,Syechimovich,"שוב הוא גונב לי את ההצגה. אני לא מתכוון לז'קט של @RahavRan , ולא ל @sharongal, מתכוון לאלוני @alonhadad שלי. מבחינתי - הכוכב האמיתי בבית. רשת 13. הערב ב-18:00. תבלו! #reshettv #רשתטיוי https://t.co/cfvMx9kLWt",1,0.98720676
2019-04-18 04:24:31+00:00,user_mentions,Likud,Right,Avoda,Left,AmirOhana,HaimJelin,"@HaimJelin חיים היקר, מחברי הכנסת ההגונים, הישרים וטובי הלב שזכיתי לעבוד במחיצתם, בטוח שעוד נכונו לך גדולות ותעשה דברים חשובים גם מחוץ למשכן הכנסת, במידה מסוימת החיים הציבוריים הם עבדות, אז חגוג באושר את היציאה לחירות, שיהיה חג פסח שמח לך ולכל היקרים לך! ",0,0.9999652
2019-04-13 18:06:38+00:00,free_mentions,Likud,Right,Avoda,Left,AmirOhana,Syechimovich,"@noa_landau @RMatsliah אמרתי שהשופט אישר את הצילום - והוא אכן אישר אותו, ככתוב. הטענה היתה שאסור לצלם - והנה בהחלטה - מותר לצלם. המצלמות נלקחו - השופט הורה להחזיר אותן. לא ננקטו שום סנקציות. כנראה שיש לך קשרים טובים משלי במטה הליכוד אם את יודעת להיכן נשלח",1,0.6799909
2019-05-29 16:20:48+00:00,free_mentions,Avoda,Left,Likud,Right,amirperetz,IsraeliPM,לא אנחנו נהיה גלגל ההצלה של נתניהו.   לא נכנס ולא נשב בממשלתו. כל אפשרות אחרת היא הפרה של כל  מה שהבטחנו לציבור. מה שהבטחנו נקיים.,1,0.9960906
2019-05-29 16:20:48+00:00,free_mentions,Avoda,Left,Likud,Right,amirperetz,netanyahu,לא אנחנו נהיה גלגל ההצלה של נתניהו.   לא נכנס ולא נשב בממשלתו. כל אפשרות אחרת היא הפרה של כל  מה שהבטחנו לציבור. מה שהבטחנו נקיים.,1,0.9960906
2019-05-17 08:53:13+00:00,free_mentions,Avoda,Left,Likud,Right,amirperetz,IsraeliPM,"*דרוש לנו הילר ולא קילר*   מנהיגות מאחדת ומרפאה.           כשנתניהו מאיים על הדמוקרטיה עם חוקי חסינות וגזענות, אנחנו לא זקוקים לעוד התמודדות פנימית. https://t.co/x32Hq4cv6z",0,0.97735786
2019-05-17 08:53:13+00:00,free_mentions,Avoda,Left,Likud,Right,amirperetz,netanyahu,"*דרוש לנו הילר ולא קילר*   מנהיגות מאחדת ומרפאה.           כשנתניהו מאיים על הדמוקרטיה עם חוקי חסינות וגזענות, אנחנו לא זקוקים לעוד התמודדות פנימית. https://t.co/x32Hq4cv6z",0,0.97735786
2019-05-15 19:17:04+00:00,quoted_status,Avoda,Left,Avoda,Left,amirperetz,HilikBar,"חיליק חברי, הוכחת שאפשר לארגן פעילות כמו משרד חוץ שלם ללא אמצעים וללא מנגנון והכל בזכות אישיותך ואמונתך בערכי השלום והצדק החברתי. גאה בך על כך שאתה מניף את דגל פתרון הסכסוך גם כשהשיח הזה ננטש, וזוכה על כך להכרה גם בעולם. בכוונתי להמשיך להפעיל את השדולה שהקמת כדי לשמור על הישגיך! https://t.co/Kd0UCwow5B",0,0.7328138
2019-05-06 13:56:06+00:00,free_mentions,Avoda,Left,Likud,Right,amirperetz,IsraeliPM,"מה שלא יאמר על תושבי הדרום, לא ישנה את העובדה שהם המוצב הקדמי של כל אזרחי ישראל. צריך לחזק ולשבח אותם על אורך הרוח שלהם.  אני איש הדרום ולא הצבעתי לנתניהו, אך מתנגד באופן מוחלט לאמירות מקוממות הקושרות בין הצבעה בבחירות לזכותו של אזרח לביטחון. https://t.co/Ci0je9YtuC",1,0.80555105
2019-05-06 13:56:06+00:00,free_mentions,Avoda,Left,Likud,Right,amirperetz,netanyahu,"מה שלא יאמר על תושבי הדרום, לא ישנה את העובדה שהם המוצב הקדמי של כל אזרחי ישראל. צריך לחזק ולשבח אותם על אורך הרוח שלהם.  אני איש הדרום ולא הצבעתי לנתניהו, אך מתנגד באופן מוחלט לאמירות מקוממות הקושרות בין הצבעה בבחירות לזכותו של אזרח לביטחון. https://t.co/Ci0je9YtuC",1,0.80555105
2019-04-30 12:18:37+00:00,free_mentions,Avoda,Left,Avoda,Left,amirperetz,Syechimovich,"אורח הכבוד שלי בהשבעה הוא מעוזיה סגל. היום לפני 45 שנה הגעתי אליו שניות לפני שפגז סורי פגע במוצב כרמלה, הרג את המ""מ גרשון בלאו ופצע את מעוזיה אנוש. הצלחנו לחלץ אותו תחת אש ואני הרווחתי חבר לחיים שמלווה אותי שנים ומהווה דוגמא לכל נכי צה״ל באשר הם. אני נרגש וגאה שהוא איתי כאן היום. https://t.co/Ajn5bnYFyT",1,0.7921836
2019-05-04 20:34:46+00:00,free_mentions,Shas,Right,Shas,Right,ariyederi,ariyederi,"ביליתי את השבת בבאר שבע עם רעייתי יפה והתפללתי עם אחי, הרב יהודה דרעי, בכמה בתי כנסת העיר. כעת, אזעקות בבאר שבע וגם אנחנו במקלט, מקיימים את הנחיות פיקוד העורף https://t.co/vOS17HXLRB",0,0.9836998
2019-05-29 16:06:29+00:00,free_mentions,Blue and White,Center,Blue and White,Center,asafzamir,Kachollavan19,בטוח שגבאי ידחה על הסף את התרגיל המסריח. איך הוא בכלל יכול להתלבט כשקמפיין נגטיב שלם הוא ניהל נגד כחול לבן בטענה שאנחנו אלה שנכנס לממשלה של נתניהו https://t.co/19dBZKBzE2,0,0.5474538
2019-05-29 16:06:29+00:00,free_mentions,Blue and White,Center,Likud,Right,asafzamir,IsraeliPM,בטוח שגבאי ידחה על הסף את התרגיל המסריח. איך הוא בכלל יכול להתלבט כשקמפיין נגטיב שלם הוא ניהל נגד כחול לבן בטענה שאנחנו אלה שנכנס לממשלה של נתניהו https://t.co/19dBZKBzE2,0,0.5474538
2019-05-29 16:06:29+00:00,free_mentions,Blue and White,Center,Likud,Right,asafzamir,netanyahu,בטוח שגבאי ידחה על הסף את התרגיל המסריח. איך הוא בכלל יכול להתלבט כשקמפיין נגטיב שלם הוא ניהל נגד כחול לבן בטענה שאנחנו אלה שנכנס לממשלה של נתניהו https://t.co/19dBZKBzE2,0,0.5474538
2019-05-29 16:06:29+00:00,free_mentions,Blue and White,Center,Blue and White,Center,asafzamir,BlueWhite2019,בטוח שגבאי ידחה על הסף את התרגיל המסריח. איך הוא בכלל יכול להתלבט כשקמפיין נגטיב שלם הוא ניהל נגד כחול לבן בטענה שאנחנו אלה שנכנס לממשלה של נתניהו https://t.co/19dBZKBzE2,0,0.5474538
2019-05-29 11:53:09+00:00,free_mentions,Blue and White,Center,Likud,Right,asafzamir,IsraeliPM,"תמיד מדהים אותי לראות את נתניהו, הבן של ההיסטוריון הרוויזיוניסט, שגדל בצל הקיפוח והדומיננטיות של מפא״י מתנכר לכל הערכים שהתחנך עליהם.  ביצור השלטון ורמיסת היריב הפוליטי כערך ראשון במעלה.  מעבר לכל הפוליטיקה, זה ממש עצוב",0,0.99799925
2019-05-29 11:53:09+00:00,free_mentions,Blue and White,Center,Likud,Right,asafzamir,netanyahu,"תמיד מדהים אותי לראות את נתניהו, הבן של ההיסטוריון הרוויזיוניסט, שגדל בצל הקיפוח והדומיננטיות של מפא״י מתנכר לכל הערכים שהתחנך עליהם.  ביצור השלטון ורמיסת היריב הפוליטי כערך ראשון במעלה.  מעבר לכל הפוליטיקה, זה ממש עצוב",0,0.99799925
2019-05-29 10:38:04+00:00,free_mentions,Blue and White,Center,Avoda,Left,asafzamir,Syechimovich,אשתי נמצאת כרגע ברכב בדרך לכנס בצפון עם אביבית בר זוהר והיום שלי עדיין הרבה יותר הזוי משלה. https://t.co/mD1OiJWL9I,0,0.98993355
2019-05-27 19:21:35+00:00,free_mentions,Blue and White,Center,Blue and White,Center,asafzamir,asafzamir,@AlonPinkas ״הייתי שם״ אסף זמיר,0,0.6857078
2019-05-27 19:12:05+00:00,free_mentions,Blue and White,Center,Likud,Right,asafzamir,zoharm7,"מיקי זוהר עכשיו: ״השימוע נקבע לאוקטובר וגם הוא ידחה. לך תדע, יש עכשיו בחירות...״ למי שעוד לא מבין על מה כאן באמת כל העניין",1,0.9684457
2019-05-27 10:24:32+00:00,free_mentions,Blue and White,Center,Likud,Right,asafzamir,IsraeliPM,"חוק יסוד הממשלה. הכל כתוב כאן - שחור על גבי לבן. מישהו מבין למה צריך לגרור את המדינה לעוד בחירות? זאת אומרת, להוציא את השיקול הלאומי והערכי החשוב שנוגע לטובתו האישית של נתניהו... https://t.co/oSxJn4UkvO",1,0.9718916
2019-05-27 10:24:32+00:00,free_mentions,Blue and White,Center,Likud,Right,asafzamir,netanyahu,"חוק יסוד הממשלה. הכל כתוב כאן - שחור על גבי לבן. מישהו מבין למה צריך לגרור את המדינה לעוד בחירות? זאת אומרת, להוציא את השיקול הלאומי והערכי החשוב שנוגע לטובתו האישית של נתניהו... https://t.co/oSxJn4UkvO",1,0.9718916
2019-05-23 08:19:54+00:00,free_mentions,Blue and White,Center,Likud,Right,asafzamir,IsraeliPM,"בן גוריון רצה פעם לפטר את אבא של אריה אלדד כי הוא היה מורה שהיה מזוהה עם הלח״י. בית המשפט התערב, ביטל את ההחלטה ומנע את הפיטורים. ביקורת שיפוטית כזו קיימת בכל העולם. את הסמכות  הכלכך חשובה הזו, שמגינה מתישהו על כל אחד מאיתנו ביבי רוצה לבטל בחוק ההתגברות כירק כך יוכל להציל את עורו",1,0.69605803
2019-05-23 08:19:54+00:00,free_mentions,Blue and White,Center,Likud,Right,asafzamir,netanyahu,"בן גוריון רצה פעם לפטר את אבא של אריה אלדד כי הוא היה מורה שהיה מזוהה עם הלח״י. בית המשפט התערב, ביטל את ההחלטה ומנע את הפיטורים. ביקורת שיפוטית כזו קיימת בכל העולם. את הסמכות  הכלכך חשובה הזו, שמגינה מתישהו על כל אחד מאיתנו ביבי רוצה לבטל בחוק ההתגברות כירק כך יוכל להציל את עורו",1,0.69605803
