,edge_type,src_party,src_wing,dst_party,dst_wing,src_account,dst_account,full_text,human_label
46482,user_mentions,Avoda,Left,Culanu,Right,YossiYonah,Roy_Folkman,"@RonRone67 @KahlonMoshe @Roy_Folkman ״מכל מלמדי השכלתי,״ בלי ציניות!",
7332,free_mentions,Israel Betenu,Right,Israel Betenu,Right,Beytenu,robertilatov,"⁠⁠⁠הקץ לתשלומים באשראי פלוס אין סוף --------------------------------------------- הצעת החוק של ח""כ רוברט אילטוב... https://t.co/F7UJdUTF3u",
9202,free_mentions,Avoda,Left,Likud,Right,BiranMichal,IsraeliPM,שמחה שהספר שהענקתי לנתניהו מחנך גם את שרי ממשלתו. https://t.co/a6omtR93sT,
2055,user_mentions,Yesh Atid,Center,Yesh Atid,Center,aliza_lavie,YeshAtidParty,"ט״ו בשבט הגיע לכנסת, גם השנה סיעת @YeshAtidParty בסדר המסורתי, זו השנה השלישית! השנה היה טעים וחגיגי במיוחד! https://t.co/qBsaEukOxP",
37747,free_mentions,Avoda,Left,Likud,Right,StavShaffir,netanyahu,"@YoazHendel1 יועז ההבדל בין שמאל לימין היום הוא לא על שתי מדינות - כולם, גם ביבי, רשמית בעד 2מדינות - הדרך היחידה לשמור על ישראל יהודית ודמוקרטית. ההבדל הוא בין יוזמה (אנחנו) לפסיביות וחולשה (ביבי). הממשלה שנוביל לא תעביר כסף לחמאס ולא תשחרר מחבלים אלא תפ",
46406,free_mentions,Avoda,Left,Avoda,Left,YossiYonah,HavodaParty,"@meravi11 @sbyifat @Roy_Folkman @azariarachel ואני מתפלא עלייך!!! מה זה קשור לחופש וזכויות הפרט!!!! נראה לך הגיוני ששר כלשהו המופקד על תחום כלשהו ימנה את יועצו הבכיר או יותיר בתפקידו אדם שעמדותיו הפוכות משלו??? זה כמו שחיים כץ, שר העבודה והרווחה, היה ממנה",
21856,free_mentions,Yesh Atid,Center,Yamin Hadash,Right,idanroll,naftalibennett,"בנט, התחביב החדש שלך להסית נגד מערכת המשפט הוא הכי קרוב שתגיע להיות רה״מ. וטוב שכך. https://t.co/unDcLAUwLd",
15328,free_mentions,Avoda,Left,Likud,Right,EyalBenReuven,regev_miri,"כמה קרובות שקד ורגב.אך ורק דבר המלך.מי שמעז לומר אחרת ,לחשוב ולהתבטא שלא ברוח המנגנון יפוטר או לא ימומן.בקיצור יחוסל.חשבנו שרק בתרבות.טעינו.גם במשפט.זהו דגם הדמוקרטיה הישראלית.עד לאן עוד אפשר להתדרדר?",
32841,free_mentions,Likud,Right,Likud,Right,OfirAkunis,OfirAkunis,"למעלה מ - 175,00 צופים כבר ביקרו בערוץ היו טיוב של ח״כ אופיר אקוניס. הכנסו לקישור, הרשמו ותוכלו לצפות בתכניות,... http://t.co/3AkEmmGm",
34886,free_mentions,Israel Resilience Party,Center,Avoda,Left,ramshefa,ishmuli,"הוספתי סרטון לפלייליסט @YouTube http://t.co/1D5XnVtkcY איציק שמולי, יו""ר התאחדות",
46517,free_mentions,Avoda,Left,Likud,Right,YossiYonah,netanyahu,"נתניהו: ״איפה שהם רואים פקקים - אני רואה מחלפים.״ נו, נראה שגם ארגון OECD סובל מראיה לקויה... https://t.co/CDbDy5xtZE",
35672,free_mentions,Zehut,Right,Avoda,Left,ronzafrir,HavodaParty,זמן שתיקה.  אפילו המילים איבדו את כוחן. הרוע ממשיך לנצח. האטימות שולטת. יומיים לבחירות. משחררים את ניר. דואגים לחולים. קנאביס - רפואה מצילת חיים.  זהות תעשה את העבודה.,
4575,free_mentions,Likud,Right,Yesh Atid,Center,avidichter,yairlapid,"בני גנץ, אדם עם אפס ניסיון פוליטי חובר ליאיר לפיד, בעל ניסיון גרוע בתור שר אוצר. שניהם חולקים ברוטציה ראשות ממשלה דמיונית. זה נראה כמו רוטציה בין גננות בגן ילדים ולנו לעם הם מייעדים את תפקיד הילדים... זה לא יעבוד אצלנו. הם לא יעבדו עלינו. צפו ושתפו https://t.co/RP1O8KeKHq",
6219,free_mentions,Hadash Taal,Left,Likud,Right,AyOdeh,IsraeliPM,"פרומו ל״עסקת המאה״: פרובוקציות זולות וציניות כחלק מברית הקיצוניים של טראמפ ונתניהו וערעור ביטחון האזור מהכיסא הנוח בבית הלבן. החלטות על המזרח התיכון לא עושים חד צדדית, ובטח לא בטוויטר",
5742,user_mentions,Avoda,Left,Likud,Right,Ayeletnnv,giladerdan1,"אוי ארדן ארדן המיושן, אתם מזמן המחנה הלאומני לא הלאומי ואף אחד במדינת ישראל לא צריך להגדיר את עצמו לפני הלאומימטר שלכם. תנוח. @giladerdan1 https://t.co/SwLKZykpq2",
47094,free_mentions,Avoda,Left,Yamin Hadash,Right,YossiYonah,naftalibennett,"חייבים להעביר את מורי היל""ה להעסקה ישירה! נפתלי בנט כשר החינוך המיועד אני קורא לך...  https://t.co/hIVcG7cJre",
44565,user_mentions,Yesh Atid,Center,Yesh Atid,Center,YeshAtidParty,yairlapid,"@yairlapid בכנס הרצליה: ""אנחנו צריכים תפיסת בטחון מעודכנת בעולם שבו האיום העיקרי הוא לא צבאות אויב אלא טרור וטילים""",
36628,user_mentions,Culanu,Right,Avoda,Left,sbyifat,YaelCohenParan,"@Michal_Rozin @arikbender @YaelCohenParan מיכל יקרה, לא כל דבר הוא גברים נשים, החפצה, פמינזם שוביניזם, מישטור ועוד ועוד.... מי כמוך יודעת, כשאנו במשלחות בחו""ל אומרים לנו לקראת כל פגישה מה קוד הלבוש ואף אחד לא מוחה, להיפך- כולם מתרשמים ומכבדים. אז למה מה ש",
37867,free_mentions,Avoda,Left,Likud,Right,StavShaffir,IsraeliPM,"הממשלה היתה שמחה שכולנו נשכח איך היא מנעה שוויון לקהילה הגאה. כששאלתי את נתניהו במליאה הוא הבטיח לי שהחוק הזה יעבור. בינתיים, כמו תמיד, הוא מתחמק. אנחנו לא מתכוונים לוותר: https://t.co/tM00829Prd",
25317,user_mentions,Avoda,Left,Yesh Atid,Center,ManuelTraj,GermanYael1,"@ManuelTraj ומעריך מאד את ח""כ גפני על הדיון, ואת @Ayeletnnv @Ahmad_tibi @GermanYael1 שיזמו חקיקה שהועדה תאמץ, בעקבות חשיפת @MatanHodorov",
12077,free_mentions,Ichud Hayamin,Right,Yamin Hadash,Right,drmichaelbenari,naftalibennett,"ינון היקא, אתה מזכיר לי שבנט ישב בממשלה ששיחררה מחבלים בשלוש ׳פעימות׳ תמורת ה׳זכות׳ לדבר עם הארכי רוצח אבו מאזן. הממשלה היתה תלויה ב12 מנדטים של בנט. https://t.co/IPJGvPQgCG",
27865,free_mentions,Avoda,Left,Likud,Right,MeravMichaeli,IsraeliPM,היום נתניהו נותן לאופיר אקוניס לדבר לזכרו. https://t.co/nO8eV4A1L9,
36420,free_mentions,Ichud Hayamin,Right,Yesh Atid,Center,saruriariel,yairlapid,"ידידתי @GermanYael1, מי שהגדיל והרחיב את ייבוא המקנה לארץ, הוא לא אחר מאשר יושב ראש מפלגתך, יאיר לפיד.",
14972,free_mentions,Avoda,Left,Culanu,Right,ErelMargalit,KahlonMoshe,"האם מדד אוגוסט השלילי יעיר את כחלון? המשק בנסיגה, אין צמיחה, אין מקומות עבודה. כאן לא יעזרו תרגילי מע״מ והוזלת הבירה. #הפוךכחלוןהפוך",
34986,user_mentions,Yesh Atid,Center,Blue and White,Center,Ram_Ben_Barak,BlueWhite2019,לילה ארוך עוד לפנינו והדרך להרכבת הממשלה תהיה מאתגרת; אבל זאת כבר הזדמנות להגיד לכל התומכים של @BlueWhite2019 ושלי באופן אישי - תודה ענקית. מעכשיו אני מתחיל את המסע שלי לשרת אתכם בכנסת הבאה.,
28363,user_mentions,Avoda,Left,Avoda,Left,MeravMichaeli,ishmuli,@ishmuli ניחומים איציק היקר,
37629,user_mentions,Avoda,Left,Avoda,Left,StavShaffir,Syechimovich,@NativNoam @HavodaParty @Syechimovich @ishmuli @cabel_eitan @omerbarlev @amirperetz @yayafink @EmilieMoatti @YossiYonah @mk_mizrahimoshe תודה רבה ! נעבוד קשה ויהיו.,
24574,user_mentions,Avoda,Left,Likud,Right,KseniaSvetlova,netanyahu,עמימות-שמימימות. הבחירות הקרבות מעבירות את @netanyahu על דעתו. על מנת להשיג עוד מנדט הוא רץ לספר לחברה ובכך מגביר את הסיכויים להתלקחות אזורית. #אפס_בביטחון,
38734,user_mentions,Avoda,Left,Ichud Hayamin,Right,StavShaffir,bezalelsm,"@bezalelsm @yaronavraham ״לדמוקרטיה הישראלית יש תפקיד אחד והוא להיעלם. הדמוקרטיה חייבת להתפרק בפני היהדות״ בני קצובר, ועד מתישבי שומרון",
34258,free_mentions,Likud,Right,Likud,Right,oren_haz,IsraeliPM,"רה""מ נתניהו, אני מבין את המצוקה האישית בה אתה נמצא. צר לי אך עם כל ההתחשבות והאהבה שלי אליך, אל תסכן את שלטון הימין.  תקדים תרופה למכה ותודיע עכשיו בקולך כי עקב פרסום האשמות עם בחירתך תמנה לעצמך מ""מ מהימין וברגע שיוגש כתב האישום תצא לנבצרות ותאפשר לימין להמשיך להוביל את המדינה.",
15592,free_mentions,Avoda,Left,Likud,Right,GabbayAvi,IsraeliPM,"נחשפה רשת הרמאות והזיוף של ביבי. נתניהו מזהם את הבחירות. לחקור עכשיו, כדי שלא יגנבו שלטון בישראל. נתניהו יחצה כל קו אדום בכדי למנוע את העמדתו לדין. https://t.co/aTctMg8sCv",
20096,free_mentions,Avoda,Left,Avoda,Left,HavodaParty,Syechimovich,"שלי יחימוביץ, אתמול בראיון ערוץ 10: ""הגזירה הזאת שהיא כאילו לוחות הברית שירדו מהר סיני, שצריך לקצץ עכשיו 21... http://t.co/UFHEjoWzCM",
27436,free_mentions,Avoda,Left,Likud,Right,MeravMichaeli,netanyahu,"גם כן מה יש להתלבט, אצל נתניהו כל הזמן הוא זמן קמפיין וכל יציאותיו מהארץ הן חלק מהקמפיין, כמו הנסיעה לברזיל וכמו ""ההתלבטות"" האם לצאת לברזיל בזמן קמפיין.",
47652,free_mentions,Meretz,Left,Likud,Right,zehavagalon,netanyahu,"כדאי לעקוב אחרי הבועה ההרמטית, שהיא עמוד הפייסבוק של ראש הממשלה. שם העולם הוא כפי שנתניהו רוצה שהציבור יראה. יש גינוי מאולץ למתקפות על שבכ, אבל אין טרור יהודי. יש תיאוריות קונספירציה על המשטרה, אבל אין יידוי אבנים על שוטרים. יש מה שחשוב ומה שחשוב פחות"" https://t.co/qlIWqEbrYG",
38552,free_mentions,Avoda,Left,Likud,Right,StavShaffir,IsraeliPM,ביבי כבר הגיב לאמירה של הרב הצבאי הראשי החדש שמותר לאנוס נשים בזמן מלחמה - או שהוא מוטרד רק ממבקרי קולנוע עם 300 חברים בפייסבוק?,
4748,free_mentions,Israel Betenu,Right,Yesh Atid,Center,AvigdorLiberman,YeshAtidParty,"הגעתי למסקנה הסופית שח""כ גפני כרת ברית סודית עם ח""כ יאיר לפיד. אין שום הסבר הגיוני אחר לדברי ההתלהמות ששמענו אתמול מפיו. אני בטוח שעד סוף היום יזכה לזר פרחים ענק מיו""ר יש עתיד.",
13151,free_mentions,Yesh Atid,Center,Likud,Right,Elazar_stern,netanyahu,כשאת יהדותה של המדינה ואת ערכיה מייצגים הצמד נתניהו - דרעי הדרך לברלין קצרה יותר.  לא נפקיר את מדינת ישראל... http://t.co/gMmADkd7tH,
48601,quoted_status,Israel Resilience Party,Center,Israel Resilience Party,Center,ZviHauser,ZviHauser,@LapidAtid @YunaLeibzon לנשארים בארץ :https://t.co/3rBT2CYUiz,
48299,user_mentions,Likud,Right,Yesh Atid,Center,zoharm7,KElharrar,"@KElharrar @KElharrar אוי הפופוליזם, זה כל כך אופייני למפלגה שלך. פשוט תקשיבי לראיון ולא לכותרות שקריות. התחלתי את מאבק הנכים ובע״ה גם אסיים אותו.",
12152,free_mentions,Ichud Hayamin,Right,Yamin Hadash,Right,drmichaelbenari,naftalibennett,@Gidon_Dokow @ronnyeps @Roy_Iddan דתיי הרצף עברו לבנט.,
17572,free_mentions,Likud,Right,Likud,Right,GilaGamliel,GilaGamliel,"ח""כ גילה גמליאל - Gila Gamliel בטקס הנחת אבן פינה לבית החולים אסותא באשדוד הבוקר http://t.co/ThKGrTBa http://t.co/yNWasO16",
786,free_mentions,Hadash Taal,Left,Likud,Right,Ahmad_tibi,IsraeliPM,"ביבי,איני זקוק להטפה  ולהסתה שלך כדי להוקיע  את ההרג הנורא.עשיתי זאת  כבר אתמול.אני עקבי נגד פגיעה בחפים מפשע.אתה גם עקבי אבל בהסתה.",
746,free_mentions,Hadash Taal,Left,Ichud Hayamin,Right,Ahmad_tibi,MotiYogev,https://t.co/gKcsPyGOJO מוטי יוגב עבר מD9 לסתם פטיש.התגמשות  ומתינות בהתהוותה.,
751,free_mentions,Hadash Taal,Left,Likud,Right,Ahmad_tibi,netanyahu,שר הכלכלה נתניהו מודאג: בני מיעוטים תופסים מקומות עבודה של יהודים בגלל השבת.. https://t.co/ddpzSrgiVh,
23420,user_mentions,Avoda,Left,Avoda,Left,ishmuli,EyalBenReuven,"עופר, שאפו לך על המסירות והמחויבויות האינסופיות שאתה מקדיש לנושא. ראוי לציון מיוחד בעניין זה חברי @EyalBenReuven שדוחף חקיקה ומהלכים בכנסת ללא הרף. https://t.co/nq2Ou5ZWGa",
15710,free_mentions,Avoda,Left,Avoda,Left,GabbayAvi,HavodaParty,"מצאתם על מי לאיים. ח""כ סתיו שפיר, וכל מפלגת העבודה, נמשיך יחד להיאבק נגד הכהניסטים הגזענים. אנחנו לא מפחדים מכם ואנחנו ננצח. @StavShaffir https://t.co/6OHEOe5JUl",
4158,free_mentions,Avoda,Left,Likud,Right,amirperetz,netanyahu,"יאיר, על מי תמליץ לנשיא המדינה? ביבי או שלי?  במוצ""ש ב-20:00 נמתין לקבל ממך תשובה, מול הכנס שלך ברח' הארבעה 8... http://t.co/vna2Z7kq",
5733,quoted_status,Avoda,Left,Yamin Hadash,Right,Ayeletnnv,naftalibennett,תודה רבה @naftalibennett שמחתי כשעשינו דברים חשובים יחד. כך אמורה להיראות הכנסת גם כשהמחלוקות קשות. עוד נכונו 💪 https://t.co/wMBKPUpIRZ,
46072,user_mentions,Avoda,Left,Avoda,Left,YossiYonah,HavodaParty,"@EmilieMoatti @NativNoam @HavodaParty @Syechimovich @StavShaffir @ishmuli @cabel_eitan @omerbarlev @amirperetz @yayafink @mk_mizrahimoshe נועם, תודה על התמיכה ועל האמון!!🌷",
33,free_mentions,Hadash Taal,Left,Israel Resilience Party,Center,Ahmad_tibi,gantzbe,"צפיתי בסרטוני ספירת הגופות של בני גנץ והתחלחלתי. מי שהופך הרג, הרס וחורבן לקרדום פוליטי אינו שונה מהימין המתלהם. כל לא בונים אלטרנטיבה. https://t.co/4Um8GU7yn7",
